Id,Label,Description,Area
I Mironov,I Mironov,722.8333333333333,Unknown
K Wang,K Wang,1073.6309523809523,Unknown
A Sampson,A Sampson,1548.3333333333335,Unknown
W Dietl,Werner Dietl,3437.9476190476203,se
E Fortuna,E Fortuna,1548.3333333333335,Unknown
D Gnanapragasam,D Gnanapragasam,1548.3333333333335,Unknown
L Ceze,L Ceze,1548.3333333333335,Unknown
D Grossman,D Grossman,1606.3333333333335,Unknown
P Müller,P Müller,988.0999999999998,Unknown
GT Leavens,GT Leavens,290.5,Unknown
E Poll,E Poll,290.5,Unknown
C Clifton,C Clifton,304.9000000000001,Unknown
Y Cheon,Y Cheon,290.5,Unknown
C Ruby,C Ruby,290.5,Unknown
D Cok,D Cok,290.5,Unknown
J Kiniry,J Kiniry,290.5,Unknown
S Drossopoulou,S Drossopoulou,280.53333333333336,Unknown
MD Ernst,MD Ernst,1765.7142857142856,Unknown
R Just,R Just,400.0952380952381,Unknown
S Millstein,S Millstein,400.0952380952381,Unknown
S Pernsteiner,S Pernsteiner,216.66666666666669,Unknown
F Roesner,F Roesner,216.66666666666669,Unknown
S Dietzel,S Dietzel,309.4857142857143,Unknown
K Muşlu,K Muşlu,203.2,Unknown
TW Schiller,TW Schiller,203.2,Unknown
W Huang,W Huang,204.0,Unknown
A Milanova,A Milanova,204.0,Unknown
O Lhoták,Ondrej Lhoták,7756.100000000003,pl
M Tripunitara,M Tripunitara,249.33333333333323,Unknown
Y Cheng,Y Cheng,202.74285714285716,Unknown
J Niu,J Niu,499.7142857142857,Unknown
MD Aagaard,MD Aagaard,219.16666666666669,Unknown
S Esmaeilsabzali,S Esmaeilsabzali,248.99999999999994,Unknown
Y Lu,Y Lu,1937.2476190476186,Unknown
D Svetinovic,D Svetinovic,203.66666666666669,Unknown
DM Berry,DM Berry,324.3666666666667,Unknown
MW Godfrey,Michael W. Godfrey,9346.147619047615,se
E Lank,Edward Lank,4275.809523809521,hci
A Gurfinkel,Arie Gurfinkel,5829.390476190475,logic
M Chechik,M Chechik,2501.3333333333317,Unknown
D Berry,Daniel M. Berry,3238.3571428571427,Unknown
MT Willoughby,MT Willoughby,524.1999999999999,Unknown
E O'Connor,E O'Connor,336.0,Unknown
C Blair,C Blair,1440.7333333333333,Unknown
CC Raver,CC Raver,394.9333333333333,Unknown
DJ Berry,DJ Berry,493.3333333333333,Unknown
MJ Kieffer,MJ Kieffer,332.0,Unknown
RK Vukovic,RK Vukovic,332.0,Unknown
K Tout,K Tout,282.6666666666667,Unknown
M Zaslow,M Zaslow,439.4285714285714,Unknown
MJ Sulik,MJ Sulik,320.0,Unknown
R Mills‐Koonce,R Mills‐Koonce,320.0,Unknown
M Greenberg,M Greenberg,320.0,Unknown
M Willoughby,M Willoughby,395.79999999999995,Unknown
P Garrett-Peters,P Garrett-Peters,264.0,Unknown
Z Wang,Z Wang,1641.790476190476,Unknown
DA Granger,DA Granger,233.5,Unknown
R Johnson,R Johnson,296.0,Unknown
Y Song,Y Song,580.3666666666667,Unknown
X Chen,X Chen,12894.856349206353,Unknown
F Rossi,F Rossi,7148.0,Unknown
P van Beek,P van Beek,9593.83333333333,Unknown
T Walsh,T Walsh,7318.0,Unknown
M Vilain,M Vilain,766.6666666666666,Unknown
